t_code,sovereign_id,ink,dimensions,surface_name,series_name,curatorial_hook,neon_reading,concept_tags,emotional_register,color_palette
T_172,666172,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_173,666173,MB1; MB2; MB3,97x180cm,Red Star Ink Field,,,,,,
T_174,666174,MB1; MB2; MB3,97x180cm,Red Star Ink Field,,,,,,
T_175,666175,MB1; MB2; MB3,97x180cm,Red Star Ink Field,,,,,,
T_176,666176,MB1; MB2; MB3,97x180cm,Red Star Ink Field,,,,,,
T_177,666177,MB1; MB2; MB3,97x180cm,Red Star Ink Field,,,,,,
T_178,666178,MB1; MB2; MB3,97x180cm,Red Star Ink Field,,,,,,
T_179,666179,MB1; MB2; MB3,97x180cm,Red Star Ink Field,,,,,,
T_180,666180,MB1; MB2; MB3,97x180cm,Red Star Ink Field,,,,,,
T_181,666181,MB1; MB2; MB3,97x180cm,Red Star Ink Field,,,,,,
T_182,666182,MB1; MB2; MB3,97x180cm,Red Star Ink Field,,,,,,
T_183,666183,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_184,666184,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_185,666185,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_186,666186,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_187,666187,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_188,666188,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_189,666189,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_190,666190,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_191,666191,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_192,666192,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_193,666193,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_194,666194,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_195,666195,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_196,666196,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_197,666197,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_198,666198,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_199,666199,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_200,666200,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_201,666201,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_202,666202,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_203,666203,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_204,666204,MB1; MB2; MB3,97x180cm,Red Star Moxin Leather,,,,,,
T_205,666205,MB4; MB5; MB6,97x180cm,Red Star Mo Yun Bark,,,,,,
T_206,666206,MB6; MB5; MB4,97x180cm,Red Star Mo Yun Bark,,,,,,
T_207,666207,MB4; MB5; MB6,97x180cm,Red Star Mo Yun Bark,,,,,,
T_208,666208,MB6; MB5; MB4,97x180cm,Red Star Mo Yun Bark,,,,,,
T_209,666209,MB4; MB5; MB6,97x180cm,Red Star Mo Yun Bark,,,,,,
T_210,666210,MB6; MB5; MB4,97x180cm,Red Star Mo Yun Bark,,,,,,
T_211,666211,MB4; MB5; MB6,97x180cm,Red Star Mo Yun Bark,,,,,,
T_212,666212,MB6; MB5; MB4,97x180cm,Red Star Mo Yun Bark,,,,,,
T_213,666213,MB4; MB5; MB6,97x180cm,Red Star Mo Yun Bark,,,,,,
T_214,666214,MB6; MB5; MB4,97x180cm,Red Star Mo Yun Bark,,,,,,
T_215,666215,MB4; MB5; MB6,97x180cm,Red Star Mo Yun Bark,,,,,,
T_216,666216,MB6; MB5; MB4,97x180cm,Red Star Mo Yun Bark,,,,,,
T_217,666217,MB4; MB5; MB6,97x180cm,Red Star Mo Yun Bark,,,,,,
T_218,666218,MB4; MB5; MB6,97x180cm,Red Star Mo Yun Bark,,,,,,
T_219,666219,MB4; MB5; MB6,97x180cm,Red Star Mo Yun Bark,,,,,,
T_220,666220,MB4; MB5; MB6,97x180cm,Red Star Moxin Leather,,,,,,
T_221,666221,MB4; MB5; MB6,97x180cm,Red Star Moxin Leather,,,,,,
T_222,666222,MB4; MB5; MB6,97x180cm,Red Star Moxin Leather,,,,,,
T_223,666223,MB4; MB5; MB6,97x180cm,Red Star Moxin Leather,,,,,,
T_224,666224,MB4; MB5; MB6,97x180cm,Red Star Moxin Leather,,,,,,
T_225,666225,MB4; MB5; MB6,97x180cm,Red Star Moxin Leather,,,,,,
T_226,666226,MB4; MB5; MB6,97x180cm,Red Star Moxin Leather,,,,,,
T_227,666227,MB4; MB5; MB6,97x180cm,Red Star Moxin Leather,,,,,,
T_228,666228,MB4; MB5; MB6,97x180cm,Red Star Moxin Leather,,,,,,
T_229,666229,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_230,666230,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_231,666231,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_232,666232,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_233,666233,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_234,666234,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_235,666235,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_236,666236,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_237,666237,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_238,666238,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_239,666239,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_240,666240,MB4; MB5; MB6,97x180cm,Red Star Ink Field,,,,,,
T_241,666241,MB4; MB5; MB6,100x150cm,Hongxing Fine Mulberry,,,,,,
T_242,666242,MB4; MB5; MB6,100x150cm,Hongxing Fine Mulberry,,,,,,
T_243,666243,MB4; MB5; MB6,100x150cm,Hongxing Fine Mulberry,,,,,,
T_244,666244,MB4; MB5; MB6,100x150cm,Hongxing Fine Mulberry,,,,,,
T_245,666245,MB4; MB5; MB6,100x150cm,Hongxing Fine Mulberry,,,,,,
T_246,666246,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_247,666247,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_248,666248,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_249,666249,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_250,666250,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_251,666251,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_252,666252,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_253,666253,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_254,666254,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_255,666255,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_256,666256,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_257,666257,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_258,666258,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_259,666259,MB4; MB5; MB6,70x180cm,Tan Xi Special Pure,,,,,,
T_260,666260,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_261,666261,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_262,666262,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_263,666263,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_264,666264,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_265,666265,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_266,666266,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_267,666267,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_268,666268,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_269,666269,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_270,666270,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_271,666271,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_272,666272,MB4; MB5; MB6,97x180cm,Tanpi Sandalwood Bark,,,,,,
T_273,666273,MB4; MB5; MB6; MC4; MC5; MC2,70x140cm,Red Star Dan Xuan,,,,,,
T_274,666274,MB4; MB5; MB6; MC2; MC4; MC5,70x140cm,Red Star Dan Xuan,,,,,,
T_275,666275,MB4; MB5; MB6; MC4; MC5; MC2,70x140cm,Red Star Dan Xuan,,,,,,
T_276,666276,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_277,666277,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_278,666278,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_279,666279,,97x180cm,Red Star Mo Yun Bark,,,,,,
T_280,666280,,97x180cm,Red Star Mo Yun Bark,,,,,,
